Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text,Sentiment
523013,B001EO5U8I,A3Q2XQ803BLXME,"C. Drennon ""the stitch""",2,2,5,1255219200,Great green tea for not too much.,"Stash's gunpowder green has been a staple tea in our house for almost a year now. We prefer it iced, but it is decent hot. It is much more affordable than most other green teas and the quality is right up there with other good gunpwder greens we have had. Like most green teas, steep at 180 degrees for 3 minutes to get the best results. We go through a 3 pack of this stuff every single month.",2
523050,B001EO5U8I,A3UR5KVANJF2W3,"Yooper Gal ""bird watcher""",0,0,4,1326412800,E.G. tea,Nice light earl grey flavor. pleasant aroma. Use filtered water for cleanest refreshing flavor.I make it in a coffee maker that has never made coffee to keep the flavor pure. Decent cup of tea for the price.,2
523045,B001EO5U8I,A2U4YO4IY98IB7,"M. Thomas ""M. Thomas""",0,0,5,1333065600,Good stuff,"Back to buy more.  Love this tea!  I have had a lot of different green tea, jasmine green tea is my favorite, and this is my favorite jasmine green tea of any that I've tried.  Great quality and flavor!  LOVVVVE IT!",2
523030,B001EO5U8I,A2FRFAQCWZJT3Q,"B. Davis ""The Happy Hermit""",1,1,5,1216771200,Good stuff!!,"Two level measuring teaspoons makes at least 30 ounces of tea, good strong tea that is highly stimulating.  I don't even miss coffee now!  Using distilled water makes the best tea in my opinion.  I drink the first mug straight and the rest I put soy milk powder in.  GOOD STUFF.  Will continue to buy this tea.",2
523025,B001EO5U8I,A1LVEPRENTHRSH,Amazon Customer B,1,1,5,1266969600,Sweet Jasmine,"I am a long-time green tea consumer.  I switched from coffee to green tea when I learned about the beneficial effects of green tea.  I like a fairly strong tea and usually grate fresh frozen ginger into my tea cup for extra flavor.  I steep a generous teaspoon of the loose leaves in 8 oz. of hot water (not quite boiling).  To my delight, the Jasmine green tea is always good with or without ginger.  I can use the leaves at least twice with good results.  The mild aroma of the tea is like jasmine blossoms and the taste has a sublte sweetness.  I drink at least 24 oz. of the tea each day.  So the fact that the tea is organic is a plus. The price is competitive.  I will buy this tea again",2
523023,B001EO5U8I,A1O5NDRKV5N64P,Ryan Mitchell,1,1,5,1288569600,A lovely tea,"After having some incredible green tea with ginger at a restaurant, I began my search for something similar. I eventually decided on this tea, and I'm very happy with it. It's very smooth and has great flavor that's not dominated or overpowered by the ginger or lemongrass. I also agree with the previous reviewer that this works wonders for an upset stomach. The price is also very fair, given the high cost of quality loose leaf teas.",2
523073,B001EO5U8I,A16KK3YHCWE29C,QF Jane,0,0,3,1190764800,Bitter aftertaste,"I love good teas -- and this is my second disappointment with Stash in the last few weeks.<br /><br />If you brew this as directed the tea leaves a decidedly bitter aftertaste.  I am trying out different lengths of steeping -- I did less than they recommend on the bag, and it didn't have much flavor.  I may try a little longer, or adding more tea leaves per cup.<br /><br />Otherwise, the price is very good, so for someone who is not picky it is a great deal!!!",1
523028,B001EO5U8I,A1GYS4NZQDMUVO,A. Palmer,1,1,5,1242000000,Great morning tea,This is one of the better Irish Breakfast teas I have tried.  I will keep buying it as long as it is offered!  The packaging does a good job keeping the tea fresh.,2
522993,B001EO5U8I,A3THJ7GQR0M37T,R. Higgins,0,3,4,1238025600,Convenience of Auto Delivery,"I find it very convenient to have some of my grocery products automatically delivered to my door.  However, when I did postpone an order because I didn't need it yet, it was a problem getting it delivered sooner when I did run out.",2
522983,B001EO5U8I,A23MDA823G0MSQ,"Miggi ""miggi""",0,1,1,1218412800,Very poor tea,I bought 3 bags of this tea and found each to be just as bad as the last.  This tea has a very weak/poor flavour.  I tried to brew it very stong but it still ends up tasting bad.,0
